RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
21,21,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,27123,14885,14885,0,20226,0.298294544,4990,623.772949,0.548821568,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,94,573,642,402,241,23,49,261,2,250,0,301,0,18,103,274,228,0.286478162,-99,-99,-99,-99,-99,-99,-99,-99,0,32060,32058,0,0,246993,246941,0.00000000,4.48154497,57.4995956,47.0433807,67.5120163,288.527069,31.5560741,25.8176498,37.0509415,158.345139,108.490234,90.1081696,59.5400009,49.4518280,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.543579,177.400101,401.744171,1,
22,22,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,27899,15079,15079,0,20419,0.302175015,4990,623.772949,0.540491760,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,92,573,642,402,241,24,49,259,2,300,0,334,0,20,99,308,251,0.340674460,-99,-99,-99,-99,-99,-99,-99,-99,0,32064,32062,0,0,246993,246940,0.00000000,4.69085884,59.1452866,48.3884621,69.4438171,303.294067,31.9673538,26.1534119,37.5335922,163.927002,92.9961014,83.5294342,50.2633324,45.1467056,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.559570,177.413666,401.746796,1,
23,23,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_350N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,28089,15079,15079,0,20419,0.302175015,4990,623.772949,0.536831737,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,90,573,642,402,241,24,49,257,2,350,0,361,0,27,95,335,258,0.575357318,-99,-99,-99,-99,-99,-99,-99,-99,0,32069,32066,0,0,246995,246942,0.00000000,4.59114552,59.5485306,48.7170067,69.9165649,311.531494,31.9673538,26.1526814,37.5332108,167.239014,80.2544022,77.8089752,43.0828590,41.7700844,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.575684,177.425659,401.750885,1,
24,24,1,1,1,MZ,MZCER048,UFGA0002,Mar_3_400N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018081,2018122,2018179,2018226,2018226,2018,-99,28089,15079,15079,0,20419,0.302175015,4990,623.772949,0.536831737,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,93,573,642,402,240,24,53,256,2,400,0,363,0,59,92,337,258,0.858313441,-99,-99,-99,-99,-99,-99,-99,-99,0,32071,32069,0,0,246997,246944,0.00000000,4.79840183,59.5485306,48.7346344,69.9180374,301.731873,31.9673538,26.1621437,37.5340004,161.978287,70.2226028,77.3802795,37.6974983,41.5399437,145,23.1641407,11.6896563,20.8234425,14.1453733,408.197754,471.699982,576.367126,177.226639,401.742401,1,
25,25,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_50N_Rainfed        ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,17652,9477,9477,0,12114,0.303997487,3117,389.673492,0.536878169,3.67024589,-99.0000000,-99,-99,-99,-99,-99,3,91,573,643,351,292,24,50,256,2,50,0,153,0,15,125,128,93,0.103894897,-99,-99,-99,-99,-99,-99,-99,-99,0,32039,32037,0,0,247044,246991,0.00000000,4.87682199,39.9629669,31.5187778,50.2787781,194.924789,21.4557400,16.9221344,26.9941998,104.653282,353.032837,115.370216,189.539993,61.9411774,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,560.035767,210.676544,351.075409,1,
26,26,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_100N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,21865,11897,11897,0,15614,0.271942228,4375,546.846741,0.544111967,4.52900553,-99.0000000,-99,-99,-99,-99,-99,3,91,573,644,384,260,24,51,255,2,100,0,190,0,16,122,165,127,0.140891224,-99,-99,-99,-99,-99,-99,-99,-99,0,32042,32040,0,0,247026,246973,0.00000000,4.76457977,49.5012970,39.0047760,57.0103645,240.531067,26.9345722,21.2232208,31.0203953,130.877411,218.647232,115.077484,118.970001,62.6157913,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,560.565247,179.268845,383.521881,1,
27,27,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_150N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,24490,12826,12826,0,17789,0.263254464,4872,609.023376,0.523739517,4.99757004,-99.0000000,-99,-99,-99,-99,-99,3,92,573,643,399,243,24,51,257,2,150,0,224,0,16,118,197,157,0.176256314,-99,-99,-99,-99,-99,-99,-99,-99,0,32046,32044,0,0,247025,246973,0.00000000,4.79983759,55.4443092,43.7556419,61.3431664,266.514587,29.0378094,22.9161129,32.1272125,139.581497,163.264999,109.329239,85.5066681,57.2589302,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.693542,163.058838,399.225403,1,
28,28,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_200N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,25953,13716,13716,0,19057,0.274865210,4990,623.772949,0.528496623,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,91,573,642,402,241,23,50,258,2,200,0,255,0,16,113,228,186,0.217205435,-99,-99,-99,-99,-99,-99,-99,-99,0,32051,32048,0,0,246998,246945,0.00000000,4.43853378,58.7579613,46.4088249,64.6245804,285.909760,31.0527515,24.5264072,34.1531792,151.099258,129.766953,101.778000,68.5800018,53.7882347,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.233948,160.232147,401.602448,1,
29,29,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_250N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,26752,14515,14515,0,19855,0.290865868,4990,623.772949,0.542569578,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,90,573,642,402,240,23,49,257,2,250,0,282,0,17,107,256,212,0.261991292,-99,-99,-99,-99,-99,-99,-99,-99,0,32057,32055,0,0,247000,246947,0.00000000,4.27768755,60.5656662,47.8371964,66.5896530,298.018768,32.8616714,25.9554691,36.1301613,161.698792,107.007416,94.8647308,58.0600014,51.4716301,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.227051,160.085602,401.741913,1,
30,30,1,1,1,MZ,MZCER048,UFGA0002,Apr_1_300N_Rainfed       ,Generic ,WSTATION,2018,US02489372,         41.987,         -92.26,   280.82,2018000,2018092,2018122,2018179,2018226,2018226,2018,-99,27517,15079,15079,0,20419,0.302175015,4990,623.772949,0.547983646,5.06338596,-99.0000000,-99,-99,-99,-99,-99,3,90,573,642,402,241,23,50,257,2,300,0,310,0,18,103,283,236,0.306387037,-99,-99,-99,-99,-99,-99,-99,-99,0,32061,32059,0,0,246997,246945,0.00000000,4.27200556,62.2988625,49.2043266,68.4946747,304.424316,34.1385574,26.9630089,37.5337410,166.818573,91.7246857,88.7658234,50.2633324,48.6419373,134,24.5395546,12.9432850,21.5485039,14.3026247,408.231293,441.699982,559.247681,160.103104,401.745178,1,
